raceId,year,round,circuitId,month,dayofweek,constructorId,points_x,grid,position_x,positionOrder,points_y,fastestLap,fastestLapTime,fastestLapSpeed,standings_points,standings_position,season_wins,nationality,position_y,q1,q2,q3,sprint_grid,sprint_position,sprint_points,target
1,2009,1,1,3,6,23,18.0,1,1,1,10.0,17,88.02,216.891,18.0,1,1,British,1,85.10849999999999,84.819,86.3535,9,11,0.0,0
1,2009,1,1,3,6,23,18.0,2,2,2,8.0,43,89.066,214.344,18.0,1,1,British,1,85.10849999999999,84.819,86.3535,9,11,0.0,0
1,2009,1,1,3,6,1,0.0,12,40,19,0.0,0,90.2675,204.894,0.0,6,0,British,14,86.319,85.726,87.03225,9,11,0.0,0
1,2009,1,1,3,6,1,0.0,18,40,20,0.0,39,89.02,214.455,0.0,6,0,British,14,86.319,85.726,87.03225,9,11,0.0,0
1,2009,1,1,3,6,7,11.0,20,3,3,6.0,50,88.916,214.706,11.0,2,0,Japanese,7,85.84649999999999,85.273,87.05099999999999,9,11,0.0,0
1,2009,1,1,3,6,7,11.0,19,4,4,5.0,53,88.416,215.92,11.0,2,0,Japanese,7,85.84649999999999,85.273,87.05099999999999,9,11,0.0,0
1,2009,1,1,3,6,4,4.0,10,5,5,4.0,53,88.712,215.199,4.0,3,0,French,14,86.312,85.605,87.03225,9,11,0.0,0
1,2009,1,1,3,6,4,4.0,14,40,17,0.0,17,90.502,210.943,4.0,3,0,French,14,86.312,85.605,87.03225,9,11,0.0,0
1,2009,1,1,3,6,3,3.0,5,6,6,3.0,48,87.706,217.668,3.0,4,0,British,9,85.96000000000001,85.36500000000001,86.973,9,11,0.0,0
1,2009,1,1,3,6,3,3.0,11,40,18,0.0,6,89.923,212.301,3.0,4,0,British,9,85.96000000000001,85.36500000000001,86.973,9,11,0.0,0
1,2009,1,1,3,6,5,3.0,13,7,7,2.0,34,89.23,213.95,3.0,5,0,Italian,18,86.73349999999999,87.216,87.03225,9,11,0.0,0
1,2009,1,1,3,6,5,3.0,17,8,8,1.0,50,89.82300000000001,212.537,3.0,5,0,Italian,18,86.73349999999999,87.216,87.03225,9,11,0.0,0
1,2009,1,1,3,6,10,0.0,16,9,9,0.0,43,88.943,214.64,0.0,6,0,Indian,18,86.70949999999999,87.216,87.03225,9,11,0.0,0
1,2009,1,1,3,6,10,0.0,15,11,11,0.0,51,89.005,214.491,0.0,6,0,Indian,18,86.70949999999999,87.216,87.03225,9,11,0.0,0
1,2009,1,1,3,6,2,0.0,9,10,10,0.0,48,88.283,216.245,0.0,7,0,German,7,85.8745,85.328,86.914,9,11,0.0,0
1,2009,1,1,3,6,2,0.0,4,14,14,0.0,36,87.988,216.97,0.0,7,0,German,7,85.8745,85.328,86.914,9,11,0.0,0
1,2009,1,1,3,6,9,0.0,8,12,12,0.0,38,88.508,215.695,0.0,8,0,Austrian,6,85.6825,85.181,87.038,9,11,0.0,0
1,2009,1,1,3,6,9,0.0,3,13,13,0.0,8,88.14,216.596,0.0,8,0,Austrian,6,85.6825,85.181,87.038,9,11,0.0,0
1,2009,1,1,3,6,6,0.0,7,15,15,0.0,35,88.488,215.744,0.0,9,0,Italian,8,85.8715,85.3495,87.098,9,11,0.0,0
1,2009,1,1,3,6,6,0.0,6,40,16,0.0,30,89.14099999999999,214.164,0.0,9,0,Italian,8,85.8715,85.3495,87.098,9,11,0.0,0
2,2009,2,2,4,6,23,7.0,1,1,1,5.0,18,96.64099999999999,206.483,25.0,1,2,British,2,94.86949999999999,94.0855,95.416,9,11,0.0,0
2,2009,2,2,4,6,23,7.0,8,5,5,2.0,17,97.48400000000001,204.698,25.0,1,2,British,2,94.86949999999999,94.0855,95.416,9,11,0.0,0
2,2009,2,2,4,6,2,4.0,10,2,2,4.0,17,99.084,201.392,4.0,3,0,German,9,95.138,94.66550000000001,96.106,9,11,0.0,0
2,2009,2,2,4,6,2,4.0,6,40,19,0.0,0,90.2675,204.894,4.0,3,0,German,9,95.138,94.66550000000001,96.106,9,11,0.0,0
2,2009,2,2,4,6,7,5.5,3,3,3,3.0,18,99.406,200.74,16.5,2,0,Japanese,3,94.826,94.12400000000001,95.4815,9,11,0.0,0
2,2009,2,2,4,6,7,5.5,2,4,4,2.5,12,97.59100000000001,204.473,16.5,2,0,Japanese,3,94.826,94.12400000000001,95.4815,9,11,0.0,0
2,2009,2,2,4,6,9,1.5,5,6,6,1.5,14,97.672,204.304,1.5,7,0,Austrian,5,94.981,94.24900000000001,95.6575,9,11,0.0,0
2,2009,2,2,4,6,9,1.5,13,15,15,0.0,10,98.42699999999999,202.737,1.5,7,0,Austrian,5,94.981,94.24900000000001,95.6575,9,11,0.0,0
2,2009,2,2,4,6,1,1.0,12,7,7,1.0,17,99.14099999999999,201.276,1.0,8,0,British,13,95.1515,94.9145,87.03225,9,11,0.0,0
2,2009,2,2,4,6,1,1.0,14,40,20,0.0,0,90.2675,204.894,1.0,8,0,British,13,95.1515,94.9145,87.03225,9,11,0.0,0
2,2009,2,2,4,6,3,0.5,4,8,8,0.5,13,97.598,204.459,3.5,5,0,British,9,95.212,94.66749999999999,95.75,9,11,0.0,0
2,2009,2,2,4,6,3,0.5,11,12,12,0.0,17,99.387,200.778,3.5,5,0,British,9,95.212,94.66749999999999,95.75,9,11,0.0,0
2,2009,2,2,4,6,6,0.0,16,9,9,0.0,17,99.25,201.055,0.0,10,0,Italian,12,95.559,94.456,96.17,9,11,0.0,0
2,2009,2,2,4,6,6,0.0,7,14,14,0.0,17,98.453,202.683,0.0,10,0,Italian,12,95.559,94.456,96.17,9,11,0.0,0
