raceId,year,round,circuitId,month,dayofweek,constructorId,points_x,grid,position_x,positionOrder,points_y,fastestLap,fastestLapTime,fastestLapSpeed,standings_points,standings_position,season_wins,nationality,position_y,q1,q2,q3,sprint_grid,sprint_position,sprint_points,target
1,2009,1,1,3,6,23.0,18.0,1.0,1,1.0,10.0,17,88.02,216.891,18.0,1.0,1.0,British,1.5,85.10849999999999,84.819,86.3535,,,,0
1,2009,1,1,3,6,23.0,18.0,2.0,2,2.0,8.0,43,89.066,214.344,18.0,1.0,1.0,British,1.5,85.10849999999999,84.819,86.3535,,,,0
1,2009,1,1,3,6,1.0,0.0,12.0,\N,19.0,0.0,\N,,\N,,,,British,14.5,86.319,85.726,,,,,0
1,2009,1,1,3,6,1.0,0.0,18.0,\N,20.0,0.0,39,89.02,214.455,,,,British,14.5,86.319,85.726,,,,,0
1,2009,1,1,3,6,7.0,11.0,20.0,3,3.0,6.0,50,88.916,214.706,11.0,2.0,0.0,Japanese,7.0,85.84649999999999,85.273,87.05099999999999,,,,0
1,2009,1,1,3,6,7.0,11.0,19.0,4,4.0,5.0,53,88.416,215.920,11.0,2.0,0.0,Japanese,7.0,85.84649999999999,85.273,87.05099999999999,,,,0
1,2009,1,1,3,6,4.0,4.0,10.0,5,5.0,4.0,53,88.712,215.199,4.0,3.0,0.0,French,14.5,86.312,85.605,,,,,0
1,2009,1,1,3,6,4.0,4.0,14.0,\N,17.0,0.0,17,90.502,210.943,4.0,3.0,0.0,French,14.5,86.312,85.605,,,,,0
1,2009,1,1,3,6,3.0,3.0,5.0,6,6.0,3.0,48,87.706,217.668,3.0,4.0,0.0,British,9.0,85.96000000000001,85.36500000000001,86.973,,,,0
1,2009,1,1,3,6,3.0,3.0,11.0,\N,18.0,0.0,6,89.923,212.301,3.0,4.0,0.0,British,9.0,85.96000000000001,85.36500000000001,86.973,,,,0
1,2009,1,1,3,6,5.0,3.0,13.0,7,7.0,2.0,34,89.23,213.950,3.0,5.0,0.0,Italian,18.0,86.73349999999999,,,,,,0
1,2009,1,1,3,6,5.0,3.0,17.0,8,8.0,1.0,50,89.82300000000001,212.537,3.0,5.0,0.0,Italian,18.0,86.73349999999999,,,,,,0
1,2009,1,1,3,6,10.0,0.0,16.0,9,9.0,0.0,43,88.943,214.640,0.0,6.0,0.0,Indian,18.5,86.70949999999999,,,,,,0
1,2009,1,1,3,6,10.0,0.0,15.0,11,11.0,0.0,51,89.005,214.491,0.0,6.0,0.0,Indian,18.5,86.70949999999999,,,,,,0
1,2009,1,1,3,6,2.0,0.0,9.0,10,10.0,0.0,48,88.283,216.245,0.0,7.0,0.0,German,7.5,85.8745,85.328,86.914,,,,0
1,2009,1,1,3,6,2.0,0.0,4.0,14,14.0,0.0,36,87.988,216.970,0.0,7.0,0.0,German,7.5,85.8745,85.328,86.914,,,,0
1,2009,1,1,3,6,9.0,0.0,8.0,12,12.0,0.0,38,88.508,215.695,0.0,8.0,0.0,Austrian,6.5,85.6825,85.181,87.038,,,,0
1,2009,1,1,3,6,9.0,0.0,3.0,13,13.0,0.0,8,88.14,216.596,0.0,8.0,0.0,Austrian,6.5,85.6825,85.181,87.038,,,,0
1,2009,1,1,3,6,6.0,0.0,7.0,15,15.0,0.0,35,88.488,215.744,0.0,9.0,0.0,Italian,8.0,85.8715,85.3495,87.098,,,,0
1,2009,1,1,3,6,6.0,0.0,6.0,\N,16.0,0.0,30,89.14099999999999,214.164,0.0,9.0,0.0,Italian,8.0,85.8715,85.3495,87.098,,,,0
2,2009,2,2,4,6,23.0,7.0,1.0,1,1.0,5.0,18,96.64099999999999,206.483,25.0,1.0,2.0,British,2.5,94.86949999999999,94.0855,95.416,,,,0
2,2009,2,2,4,6,23.0,7.0,8.0,5,5.0,2.0,17,97.48400000000001,204.698,25.0,1.0,2.0,British,2.5,94.86949999999999,94.0855,95.416,,,,0
2,2009,2,2,4,6,2.0,4.0,10.0,2,2.0,4.0,17,99.084,201.392,4.0,3.0,0.0,German,9.5,95.138,94.66550000000001,96.106,,,,0
2,2009,2,2,4,6,2.0,4.0,6.0,\N,19.0,0.0,\N,,\N,4.0,3.0,0.0,German,9.5,95.138,94.66550000000001,96.106,,,,0
2,2009,2,2,4,6,7.0,5.5,3.0,3,3.0,3.0,18,99.406,200.740,16.5,2.0,0.0,Japanese,3.5,94.826,94.12400000000001,95.4815,,,,0
2,2009,2,2,4,6,7.0,5.5,2.0,4,4.0,2.5,12,97.59100000000001,204.473,16.5,2.0,0.0,Japanese,3.5,94.826,94.12400000000001,95.4815,,,,0
2,2009,2,2,4,6,9.0,1.5,5.0,6,6.0,1.5,14,97.672,204.304,1.5,7.0,0.0,Austrian,5.0,94.981,94.24900000000001,95.6575,,,,0
2,2009,2,2,4,6,9.0,1.5,13.0,15,15.0,0.0,10,98.42699999999999,202.737,1.5,7.0,0.0,Austrian,5.0,94.981,94.24900000000001,95.6575,,,,0
2,2009,2,2,4,6,1.0,1.0,12.0,7,7.0,1.0,17,99.14099999999999,201.276,1.0,8.0,0.0,British,13.5,95.1515,94.9145,,,,,0
2,2009,2,2,4,6,1.0,1.0,14.0,\N,20.0,0.0,\N,,\N,1.0,8.0,0.0,British,13.5,95.1515,94.9145,,,,,0
2,2009,2,2,4,6,3.0,0.5,4.0,8,8.0,0.5,13,97.598,204.459,3.5,5.0,0.0,British,9.0,95.212,94.66749999999999,95.75,,,,0
2,2009,2,2,4,6,3.0,0.5,11.0,12,12.0,0.0,17,99.387,200.778,3.5,5.0,0.0,British,9.0,95.212,94.66749999999999,95.75,,,,0
2,2009,2,2,4,6,6.0,0.0,16.0,9,9.0,0.0,17,99.25,201.055,0.0,10.0,0.0,Italian,12.5,95.559,94.456,96.17,,,,0
2,2009,2,2,4,6,6.0,0.0,7.0,14,14.0,0.0,17,98.453,202.683,0.0,10.0,0.0,Italian,12.5,95.559,94.456,96.17,,,,0
2,2009,2,2,4,6,5.0,0.0,15.0,10,10.0,0.0,17,99.24199999999999,201.072,3.0,6.0,0.0,Italian,17.5,95.807,95.431,,,,,0
2,2009,2,2,4,6,5.0,0.0,20.0,16,16.0,0.0,16,98.938,201.689,3.0,6.0,0.0,Italian,17.5,95.807,95.431,,,,,0
2,2009,2,2,4,6,4.0,0.0,9.0,11,11.0,0.0,17,99.006,201.551,4.0,4.0,0.0,French,13.5,95.484,94.706,97.65899999999999,,,,0
2,2009,2,2,4,6,4.0,0.0,17.0,13,13.0,0.0,18,99.268,201.019,4.0,4.0,0.0,French,13.5,95.484,94.706,97.65899999999999,,,,0
2,2009,2,2,4,6,10.0,0.0,19.0,17,17.0,0.0,17,99.464,200.623,0.0,9.0,0.0,Indian,18.5,95.92949999999999,,,,,,0
2,2009,2,2,4,6,10.0,0.0,18.0,18,18.0,0.0,16,99.407,200.738,0.0,9.0,0.0,Indian,18.5,95.92949999999999,,,,,,0
3,2009,3,17,4,6,9.0,18.0,1.0,1,1.0,10.0,42,112.62700000000001,174.235,19.5,2.0,1.0,Austrian,2.0,96.158,95.1515,96.325,,,,0
3,2009,3,17,4,6,9.0,18.0,3.0,2,2.0,8.0,42,112.97999999999999,173.690,19.5,2.0,1.0,Austrian,2.0,96.158,95.1515,96.325,,,,0
3,2009,3,17,4,6,23.0,11.0,5.0,3,3.0,6.0,44,113.54599999999999,172.825,36.0,1.0,2.0,British,4.5,95.61699999999999,95.5295,96.51249999999999,,,,0
3,2009,3,17,4,6,23.0,11.0,4.0,4,4.0,5.0,42,112.592,174.289,36.0,1.0,2.0,British,4.5,95.61699999999999,95.5295,96.51249999999999,,,,0
3,2009,3,17,4,6,1.0,7.0,12.0,5,5.0,4.0,41,114.51599999999999,171.361,8.0,4.0,0.0,British,10.5,96.21100000000001,95.886,98.595,,,,0
3,2009,3,17,4,6,1.0,7.0,9.0,6,6.0,3.0,39,114.66499999999999,171.138,8.0,4.0,0.0,British,10.5,96.21100000000001,95.886,98.595,,,,0
3,2009,3,17,4,6,7.0,2.0,19.0,7,7.0,2.0,42,112.703,174.117,18.5,3.0,0.0,Japanese,10.0,96.336,95.8555,96.83500000000001,,,,0
3,2009,3,17,4,6,7.0,2.0,6.0,\N,20.0,0.0,14,120.33,163.081,18.5,3.0,0.0,Japanese,10.0,96.336,95.8555,96.83500000000001,,,,0
3,2009,3,17,4,6,5.0,1.0,10.0,8,8.0,1.0,42,114.59,171.250,4.0,7.0,0.0,Italian,13.0,96.595,95.965,99.321,,,,0
3,2009,3,17,4,6,5.0,1.0,15.0,11,11.0,0.0,43,113.47399999999999,172.934,4.0,7.0,0.0,Italian,13.0,96.595,95.965,99.321,,,,0
3,2009,3,17,4,6,4.0,0.0,2.0,9,9.0,0.0,38,114.481,171.413,4.0,6.0,0.0,French,9.5,96.6755,95.803,96.381,,,,0
3,2009,3,17,4,6,4.0,0.0,16.0,16,16.0,0.0,42,115.535,169.849,4.0,6.0,0.0,French,9.5,96.6755,95.803,96.381,,,,0
3,2009,3,17,4,6,6.0,0.0,8.0,10,10.0,0.0,38,115.396,170.054,0.0,9.0,0.0,Italian,10.5,96.1575,95.9445,98.089,,,,0
3,2009,3,17,4,6,6.0,0.0,13.0,\N,19.0,0.0,16,116.48400000000001,168.466,0.0,9.0,0.0,Italian,10.5,96.1575,95.9445,98.089,,,,0
3,2009,3,17,4,6,2.0,0.0,11.0,12,12.0,0.0,40,114.158,171.898,4.0,5.0,0.0,German,14.5,96.7455,95.975,,,,,0
3,2009,3,17,4,6,2.0,0.0,17.0,13,13.0,0.0,44,115.35,170.122,4.0,5.0,0.0,German,14.5,96.7455,95.975,,,,,0
3,2009,3,17,4,6,10.0,0.0,20.0,14,14.0,0.0,37,116.239,168.821,0.0,10.0,0.0,Indian,19.5,97.6705,,,,,,0
3,2009,3,17,4,6,10.0,0.0,18.0,17,17.0,0.0,41,114.777,170.971,0.0,10.0,0.0,Indian,19.5,97.6705,,,,,,0
3,2009,3,17,4,6,3.0,0.0,7.0,15,15.0,0.0,55,114.243,171.770,3.5,8.0,0.0,British,11.0,96.307,96.001,97.39699999999999,,,,0
3,2009,3,17,4,6,3.0,0.0,14.0,\N,18.0,0.0,38,116.167,168.925,3.5,8.0,0.0,British,11.0,96.307,96.001,97.39699999999999,,,,0
4,2009,4,3,4,6,23.0,14.0,4.0,1,1.0,10.0,11,94.588,205.979,50.0,1.0,3.0,British,5.0,93.047,92.842,94.14150000000001,,,,0
4,2009,4,3,4,6,23.0,14.0,6.0,5,5.0,4.0,25,94.90100000000001,205.300,50.0,1.0,3.0,British,5.0,93.047,92.842,94.14150000000001,,,,0
4,2009,4,3,4,6,9.0,8.0,3.0,2,2.0,8.0,16,94.756,205.614,27.5,2.0,1.0,Austrian,11.0,93.35900000000001,92.47399999999999,94.015,,,,0
4,2009,4,3,4,6,9.0,8.0,18.0,11,11.0,0.0,50,95.16499999999999,204.730,27.5,2.0,1.0,Austrian,11.0,93.35900000000001,92.47399999999999,94.015,,,,0
4,2009,4,3,4,6,7.0,8.0,1.0,3,3.0,6.0,10,94.556,206.049,26.5,3.0,0.0,Japanese,1.5,92.982,92.642,93.5715,,,,0
4,2009,4,3,4,6,7.0,8.0,2.0,7,7.0,2.0,6,94.574,206.010,26.5,3.0,0.0,Japanese,1.5,92.982,92.642,93.5715,,,,0
4,2009,4,3,4,6,1.0,5.0,5.0,4,4.0,5.0,13,94.91499999999999,205.269,13.0,4.0,0.0,British,8.0,93.16499999999999,93.0595,94.196,,,,0
4,2009,4,3,4,6,1.0,5.0,11.0,12,12.0,0.0,54,95.52000000000001,203.969,13.0,4.0,0.0,British,8.0,93.16499999999999,93.0595,94.196,,,,0
4,2009,4,3,4,6,6.0,3.0,10.0,6,6.0,3.0,42,95.49799999999999,204.016,3.0,9.0,0.0,Italian,9.0,93.207,92.9205,95.09899999999999,,,,0
4,2009,4,3,4,6,6.0,3.0,8.0,14,14.0,0.0,41,95.065,204.946,3.0,9.0,0.0,Italian,9.0,93.207,92.9205,95.09899999999999,,,,0
4,2009,4,3,4,6,4.0,1.0,7.0,8,8.0,1.0,29,95.72200000000001,203.539,5.0,5.0,0.0,French,11.0,93.6175,93.4005,94.578,,,,0
4,2009,4,3,4,6,4.0,1.0,15.0,10,10.0,0.0,37,95.441,204.138,5.0,5.0,0.0,French,11.0,93.6175,93.4005,94.578,,,,0
4,2009,4,3,4,6,3.0,0.0,9.0,9,9.0,0.0,37,95.816,203.339,3.5,8.0,0.0,British,10.5,93.4465,93.257,95.134,,,,0
4,2009,4,3,4,6,3.0,0.0,12.0,\N,20.0,0.0,39,96.15299999999999,202.627,3.5,8.0,0.0,British,10.5,93.4465,93.257,95.134,,,,0
4,2009,4,3,4,6,5.0,0.0,20.0,13,13.0,0.0,30,95.41,204.205,4.0,7.0,0.0,Italian,18.5,93.95599999999999,,,,,,0
4,2009,4,3,4,6,5.0,0.0,16.0,17,17.0,0.0,38,96.473,201.954,4.0,7.0,0.0,Italian,18.5,93.95599999999999,,,,,,0
4,2009,4,3,4,6,10.0,0.0,17.0,15,15.0,0.0,9,96.376,202.158,0.0,10.0,0.0,Indian,17.0,93.816,,,,,,0
4,2009,4,3,4,6,10.0,0.0,19.0,16,16.0,0.0,28,96.219,202.488,0.0,10.0,0.0,Indian,17.0,93.816,,,,,,0
4,2009,4,3,4,6,2.0,0.0,13.0,18,18.0,0.0,50,95.706,203.573,4.0,6.0,0.0,German,13.5,93.436,93.52449999999999,,,,,0
4,2009,4,3,4,6,2.0,0.0,14.0,19,19.0,0.0,52,95.924,203.110,4.0,6.0,0.0,German,13.5,93.436,93.52449999999999,,,,,0
5,2009,5,4,5,6,23.0,18.0,1.0,1,1.0,10.0,17,82.899,202.149,68.0,1.0,4.0,British,2.0,80.7575,80.07300000000001,80.6445,,,,0
5,2009,5,4,5,6,23.0,18.0,3.0,2,2.0,8.0,28,82.762,202.484,68.0,1.0,4.0,British,2.0,80.7575,80.07300000000001,80.6445,,,,0
5,2009,5,4,5,6,9.0,11.0,5.0,3,3.0,6.0,18,83.112,201.631,38.5,2.0,1.0,Austrian,3.5,80.702,80.1135,80.8545,,,,0
5,2009,5,4,5,6,9.0,11.0,2.0,4,4.0,5.0,41,83.09,201.684,38.5,2.0,1.0,Austrian,3.5,80.702,80.1135,80.8545,,,,0
5,2009,5,4,5,6,4.0,4.0,8.0,5,5.0,4.0,14,83.42,200.887,9.0,5.0,0.0,French,10.0,81.15700000000001,80.5565,81.392,,,,0
5,2009,5,4,5,6,4.0,4.0,12.0,12,12.0,0.0,41,84.286,198.823,9.0,5.0,0.0,French,10.0,81.15700000000001,80.5565,81.392,,,,0
5,2009,5,4,5,6,6.0,3.0,4.0,6,6.0,3.0,14,83.089,201.687,6.0,7.0,0.0,Italian,10.0,80.8875,80.149,80.934,,,,0
5,2009,5,4,5,6,6.0,3.0,16.0,\N,15.0,0.0,16,84.49,198.342,6.0,7.0,0.0,Italian,10.0,80.8875,80.149,80.934,,,,0
5,2009,5,4,5,6,2.0,2.0,13.0,7,7.0,2.0,29,83.878,199.790,6.0,6.0,0.0,German,11.5,81.013,80.542,82.685,,,,0
5,2009,5,4,5,6,2.0,2.0,10.0,11,11.0,0.0,26,84.078,199.314,6.0,6.0,0.0,German,11.5,81.013,80.542,82.685,,,,0
5,2009,5,4,5,6,3.0,1.0,9.0,8,8.0,1.0,24,83.621,200.404,4.5,8.0,0.0,British,10.0,80.7815,80.3935,82.55799999999999,,,,0
5,2009,5,4,5,6,3.0,1.0,11.0,13,13.0,0.0,38,84.155,199.132,4.5,8.0,0.0,British,10.0,80.7815,80.3935,82.55799999999999,,,,0
5,2009,5,4,5,6,1.0,0.0,14.0,9,9.0,0.0,29,83.839,199.883,13.0,4.0,0.0,British,16.0,81.333,80.805,,,,,0
5,2009,5,4,5,6,1.0,0.0,18.0,\N,16.0,0.0,6,88.719,188.888,13.0,4.0,0.0,British,16.0,81.333,80.805,,,,,0
5,2009,5,4,5,6,7.0,0.0,6.0,10,10.0,0.0,44,84.134,199.182,26.5,3.0,0.0,Japanese,6.5,81.03299999999999,80.2635,81.2505,,,,0
5,2009,5,4,5,6,7.0,0.0,7.0,\N,17.0,0.0,\N,,\N,26.5,3.0,0.0,Japanese,6.5,81.03299999999999,80.2635,81.2505,,,,0
5,2009,5,4,5,6,10.0,0.0,20.0,14,14.0,0.0,63,83.79599999999999,199.985,0.0,10.0,0.0,Indian,19.5,81.97300000000001,,,,,,0
5,2009,5,4,5,6,10.0,0.0,19.0,\N,20.0,0.0,\N,,\N,0.0,10.0,0.0,Indian,19.5,81.97300000000001,,,,,,0
5,2009,5,4,5,6,5.0,0.0,15.0,\N,18.0,0.0,\N,,\N,4.0,9.0,0.0,Italian,16.0,81.1665,81.06700000000001,,,,,0
5,2009,5,4,5,6,5.0,0.0,17.0,\N,19.0,0.0,\N,,\N,4.0,9.0,0.0,Italian,16.0,81.1665,81.06700000000001,,,,,0
6,2009,6,6,5,6,23.0,18.0,1.0,1,1.0,10.0,49,75.19,159.914,86.0,1.0,5.0,British,2.0,75.3175,74.92250000000001,74.98949999999999,,,,0
6,2009,6,6,5,6,23.0,18.0,3.0,2,2.0,8.0,46,75.685,158.868,86.0,1.0,5.0,British,2.0,75.3175,74.92250000000001,74.98949999999999,,,,0
6,2009,6,6,5,6,6.0,11.0,2.0,3,3.0,6.0,47,75.382,159.507,17.0,4.0,0.0,Italian,3.5,75.543,74.7575,75.18199999999999,,,,0
6,2009,6,6,5,6,6.0,11.0,5.0,4,4.0,5.0,50,75.154,159.991,17.0,4.0,0.0,Italian,3.5,75.543,74.7575,75.18199999999999,,,,0
6,2009,6,6,5,6,9.0,4.0,8.0,5,5.0,4.0,45,75.321,159.636,42.5,2.0,1.0,Austrian,6.0,75.5875,74.852,75.462,,,,0
6,2009,6,6,5,6,9.0,4.0,4.0,\N,18.0,0.0,15,77.634,154.880,42.5,2.0,1.0,Austrian,6.0,75.5875,74.852,75.462,,,,0
6,2009,6,6,5,6,3.0,3.0,6.0,6,6.0,3.0,48,75.772,158.686,7.5,7.0,0.0,British,8.0,75.512,75.2125,76.39949999999999,,,,0
6,2009,6,6,5,6,3.0,3.0,10.0,15,15.0,0.0,73,75.792,158.644,7.5,7.0,0.0,British,8.0,75.512,75.2125,76.39949999999999,,,,0
6,2009,6,6,5,6,4.0,2.0,9.0,7,7.0,2.0,64,75.371,159.530,11.0,6.0,0.0,French,10.5,75.9555,75.5185,76.009,,,,0
6,2009,6,6,5,6,4.0,2.0,12.0,\N,19.0,0.0,7,78.514,153.144,11.0,6.0,0.0,French,10.5,75.9555,75.5185,76.009,,,,0
6,2009,6,6,5,6,5.0,1.0,14.0,8,8.0,1.0,47,76.178,157.840,5.0,9.0,0.0,Italian,12.5,75.977,76.057,,,,,0
6,2009,6,6,5,6,5.0,1.0,11.0,\N,20.0,0.0,7,78.582,153.012,5.0,9.0,0.0,Italian,12.5,75.977,76.057,,,,,0
6,2009,6,6,5,6,10.0,0.0,13.0,9,9.0,0.0,74,76.419,157.343,0.0,10.0,0.0,Indian,14.0,76.1555,76.3455,,,,,0
6,2009,6,6,5,6,10.0,0.0,15.0,14,14.0,0.0,66,76.245,157.702,0.0,10.0,0.0,Indian,14.0,76.1555,76.3455,,,,,0
6,2009,6,6,5,6,7.0,0.0,20.0,10,10.0,0.0,72,76.066,158.073,26.5,3.0,0.0,Japanese,19.5,76.668,,,,,,0
6,2009,6,6,5,6,7.0,0.0,18.0,13,13.0,0.0,57,76.011,158.187,26.5,3.0,0.0,Japanese,19.5,76.668,,,,,,0
6,2009,6,6,5,6,2.0,0.0,16.0,11,11.0,0.0,49,76.268,157.654,6.0,8.0,0.0,German,17.5,76.33449999999999,,,,,,0
6,2009,6,6,5,6,2.0,0.0,17.0,\N,17.0,0.0,25,77.55799999999999,155.032,6.0,8.0,0.0,German,17.5,76.33449999999999,,,,,,0
6,2009,6,6,5,6,1.0,0.0,19.0,12,12.0,0.0,65,75.706,158.824,13.0,5.0,0.0,British,11.5,75.87950000000001,74.809,75.516,,,,0
6,2009,6,6,5,6,1.0,0.0,7.0,\N,16.0,0.0,48,75.672,158.896,13.0,5.0,0.0,British,11.5,75.87950000000001,74.809,75.516,,,,0
7,2009,7,5,6,6,23.0,10.0,2.0,1,1.0,10.0,40,87.57900000000001,219.422,96.0,1.0,6.0,British,2.5,87.363,87.32400000000001,88.5,,,,0
7,2009,7,5,6,6,23.0,10.0,3.0,\N,19.0,0.0,37,88.526,217.075,96.0,1.0,6.0,British,2.5,87.363,87.32400000000001,88.5,,,,0
7,2009,7,5,6,6,9.0,14.0,4.0,2,2.0,8.0,42,87.809,218.847,56.5,2.0,1.0,Austrian,2.5,87.398,87.216,88.4645,,,,0
